date,title,platform,status,content_type,engagement_prediction,scheduled_time,content_category,ai_generated
2025-08-16,Morning Motivation Monday,Instagram,Scheduled,Image,7200,09:00,Fitness,false
2025-08-16,Weekly Wellness Tips,LinkedIn,Scheduled,Article,4500,14:00,Wellness,true
2025-08-17,Customer Transformation Story,TikTok,Draft,Video,12000,18:00,User Generated Content,false
2025-08-17,Sustainable Materials Deep Dive,YouTube,In Review,Video,8900,16:00,Sustainability,true
2025-08-18,Behind the Scenes: Design Process,Instagram,Scheduled,Story,5600,11:00,Behind The Scenes,false
2025-08-18,Tech Tuesday: Wearable Integration,Twitter,Draft,Text,3200,15:00,Technology,true
2025-08-19,Midweek Motivation,Instagram,Scheduled,Carousel,6800,12:00,Fitness,false
2025-08-19,Community Spotlight,Facebook,Draft,Image,4100,17:00,Community,false
2025-08-20,Throwback Thursday: Brand Heritage,Instagram,Scheduled,Image,5400,10:00,Brand Story,false
2025-08-20,Educational: Proper Form Tips,TikTok,In Review,Video,9500,19:00,Education,true
2025-08-21,Feel Good Friday,Instagram,Scheduled,Story,4800,16:00,Wellness,false
2025-08-21,Weekend Warrior Prep,YouTube,Draft,Video,7300,20:00,Fitness,true
2025-08-22,Saturday Style Guide,Instagram,Draft,Carousel,6200,13:00,Fashion,false
2025-08-23,Sunday Self Care,TikTok,Draft,Video,8100,15:00,Wellness,true
2025-08-24,Monday Mindset Reset,LinkedIn,Planned,Article,3800,08:00,Wellness,true
